INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
Lake Erie CollegePrivate 4-year,Private_4_year,OH,9908,31422,41330,31422,41330
Lourdes UniversityPrivate 4-year,Private_4_year,OH,10100,22480,32580,22480,32580
Malone UniversityPrivate 4-year,Private_4_year,OH,9500,30860,40360,30860,40360
Marietta CollegePrivate 4-year,Private_4_year,OH,11320,36040,47360,36040,47360
Mercy College of OhioPrivate 4-year,Private_4_year,OH,NA,15240,15240,15240,15240
Mount Carmel College of NursingPrivate 4-year,Private_4_year,OH,5000,13907,18907,13907,18907
Mount St. Joseph UniversityPrivate 4-year,Private_4_year,OH,9442,30100,39542,30100,39542
Mount Vernon Nazarene UniversityPrivate 4-year,Private_4_year,OH,8170,29244,37414,29244,37414
Muskingum UniversityPrivate 4-year,Private_4_year,OH,11480,28516,39996,28516,39996
Notre Dame CollegePrivate 4-year,Private_4_year,OH,9980,30160,40140,30160,40140
Oberlin CollegePrivate 4-year,Private_4_year,OH,16338,55054,71392,55054,71392
Ohio Christian UniversityPrivate 4-year,Private_4_year,OH,8076,23306,31382,23306,31382
Ohio Dominican UniversityPrivate 4-year,Private_4_year,OH,10948,31080,42028,31080,42028
Ohio Northern UniversityPrivate 4-year,Private_4_year,OH,11650,32260,43910,32260,43910
Ohio Wesleyan UniversityPrivate 4-year,Private_4_year,OH,12430,45760,58190,45760,58190
Otterbein UniversityPrivate 4-year,Private_4_year,OH,11258,31874,43132,31874,43132
Pontifical College JosephinumPrivate 4-year,Private_4_year,OH,10600,23285,33885,23285,33885
Rabbinical College of TelshePrivate 4-year,Private_4_year,OH,3000,10800,13800,10800,13800
Tiffin UniversityPrivate 4-year,Private_4_year,OH,10600,25000,35600,25000,35600
Tri-State Bible CollegePrivate 4-year,Private_4_year,OH,NA,10500,10500,10500,10500
Union Institute & UniversityPrivate 4-year,Private_4_year,OH,NA,16526,16526,16526,16526
University of DaytonPrivate 4-year,Private_4_year,OH,13580,42900,56480,42900,56480
University of FindlayPrivate 4-year,Private_4_year,OH,10000,34360,44360,34360,44360
University of Mount UnionPrivate 4-year,Private_4_year,OH,10200,31260,41460,31260,41460
University of Northwestern OhioPrivate 4-year,Private_4_year,OH,2850,10650,13500,10650,13500
University of Rio GrandePrivate 4-year,Private_4_year,OH,11166,27470,38636,27470,38636
Urbana UniversityPrivate 4-year,Private_4_year,OH,9998,23700,33698,23700,33698
Ursuline CollegePrivate 4-year,Private_4_year,OH,10776,32390,43166,32390,43166
Walsh UniversityPrivate 4-year,Private_4_year,OH,10680,29980,40660,29980,40660
Wilmington CollegePrivate 4-year,Private_4_year,OH,9925,25675,35600,25675,35600
Wittenberg UniversityPrivate 4-year,Private_4_year,OH,10356,39500,49856,39500,49856
Xavier UniversityPrivate 4-year,Private_4_year,OH,12780,38530,51310,38530,51310
Wilberforce UniversityPrivate 4-year,Private_4_year,OH,7000,13250,20250,13250,20250
Cameron UniversityPublic 4-year,Public_4 year,OK,5452,6450,11902,15870,21322
East Central UniversityPublic 4-year,Public_4 year,OK,5514,6810,12324,17700,23214
Langston UniversityPublic 4-year,Public_4 year,OK,9476,5950,15426,13300,22776
Northeastern State UniversityPublic 4-year,Public_4 year,OK,7638,6650,14288,14720,22358
Northwestern Oklahoma State UniversityPublic 4-year,Public_4 year,OK,4780,7036,11816,14153,18933
Oklahoma Panhandle State UniversityPublic 4-year,Public_4 year,OK,4695,8194,12889,9133,13828
Oklahoma State UniversityPublic 4-year,Public_4 year,OK,8549,9019,17568,24539,33088
Rogers State UniversityPublic 4-year,Public_4 year,OK,8616,6870,15486,15210,23826
Southeastern Oklahoma State UniversityPublic 4-year,Public_4 year,OK,6970,6750,13720,15390,22360
Southwestern Oklahoma State UniversityPublic 4-year,Public_4 year,OK,5830,7035,12865,13935,19765
University of Central OklahomaPublic 4-year,Public_4 year,OK,7970,7488,15458,18376,26346
University of OklahomaPublic 4-year,Public_4 year,OK,10994,11763,22757,27144,38138
University of Science and Arts of OklahomaPublic 4-year,Public_4 year,OK,6350,7215,13565,17565,23915
Family of Faith CollegePrivate 4-year,Private_4_year,OK,2400,6400,8800,6400,8800
Mid-America Christian UniversityPrivate 4-year,Private_4_year,OK,8036,18334,26370,18334,26370
Oklahoma Baptist UniversityPrivate 4-year,Private_4_year,OK,7350,28258,35608,28258,35608
Oklahoma Christian UniversityPrivate 4-year,Private_4_year,OK,8190,22760,30950,22760,30950
Oklahoma City UniversityPrivate 4-year,Private_4_year,OK,8896,31026,39922,31026,39922
Oklahoma Wesleyan UniversityPrivate 4-year,Private_4_year,OK,8644,26956,35600,26956,35600
Oral Roberts UniversityPrivate 4-year,Private_4_year,OK,9450,27728,37178,27728,37178
Randall UniversityPrivate 4-year,Private_4_year,OK,7704,14090,21794,14090,21794
Southern Nazarene UniversityPrivate 4-year,Private_4_year,OK,8496,25188,33684,25188,33684
Southwestern Christian UniversityPrivate 4-year,Private_4_year,OK,7100,18630,25730,18630,25730
St. Gregory's UniversityPrivate 4-year,Private_4_year,OK,8662,22050,30712,22050,30712
University of TulsaPrivate 4-year,Private_4_year,OK,11116,41509,52625,41509,52625
Eastern Oregon UniversityPublic 4-year,Public_4 year,OR,10040,8679,18719,20739,30779
Oregon Health & Science UniversityPublic 4-year,Public_4 year,OR,NA,19176,19176,33666,33666
Oregon Institute of TechnologyPublic 4-year,Public_4 year,OR,9058,9987,19045,28056,37114
Oregon State UniversityPublic 4-year,Public_4 year,OR,12855,11166,24021,30141,42996
Portland State UniversityPublic 4-year,Public_4 year,OR,10428,9105,19533,27060,37488
Southern Oregon UniversityPublic 4-year,Public_4 year,OR,13199,9654,22853,25584,38783
University of OregonPublic 4-year,Public_4 year,OR,12963,11898,24861,35478,48441
Western Oregon UniversityPublic 4-year,Public_4 year,OR,10415,9540,19955,26415,36830
Concordia UniversityPrivate 4-year,Private_4_year,OR,9520,30908,40428,30908,40428
Corban UniversityPrivate 4-year,Private_4_year,OR,10228,33040,43268,33040,43268
George Fox UniversityPrivate 4-year,Private_4_year,OR,11250,36020,47270,36020,47270
Gutenberg CollegePrivate 4-year,Private_4_year,OR,5000,13650,18650,13650,18650
Lewis & Clark CollegePrivate 4-year,Private_4_year,OR,12490,50934,63424,50934,63424
Linfield CollegePrivate 4-year,Private_4_year,OR,12420,43232,55652,43232,55652
Marylhurst UniversityPrivate 4-year,Private_4_year,OR,NA,20835,20835,20835,20835
Multnomah UniversityPrivate 4-year,Private_4_year,OR,8870,25900,34770,25900,34770
New Hope Christian CollegePrivate 4-year,Private_4_year,OR,6300,14880,21180,14880,21180
Northwest Christian UniversityPrivate 4-year,Private_4_year,OR,9300,30050,39350,30050,39350
Oregon College of Art & CraftPrivate 4-year,Private_4_year,OR,NA,34850,34850,34850,34850
Pacific Northwest College of ArtPrivate 4-year,Private_4_year,OR,12860,38250,51110,38250,51110
Pacific UniversityPrivate 4-year,Private_4_year,OR,12528,44298,56826,44298,56826
Reed CollegePrivate 4-year,Private_4_year,OR,14210,56340,70550,56340,70550
University of PortlandPrivate 4-year,Private_4_year,OR,13450,45904,59354,45904,59354
Warner Pacific UniversityPrivate 4-year,Private_4_year,OR,9630,18740,28370,18740,28370
Willamette UniversityPrivate 4-year,Private_4_year,OR,12440,50074,62514,50074,62514
Bloomsburg University of PennsylvaniaPublic 4-year,Public_4 year,PA,9686,10958,20644,22532,32218
California University of PennsylvaniaPublic 4-year,Public_4 year,PA,10186,11108,21294,14966,25152
Cheyney University of PennsylvaniaPublic 4-year,Public_4 year,PA,11018,9479,20497,14495,25513
Clarion University of PennsylvaniaPublic 4-year,Public_4 year,PA,12670,11175,23845,15033,27703
East Stroudsburg University of PennsylvaniaPublic 4-year,Public_4 year,PA,9700,11084,20784,23516,33216
Edinboro University of PennsylvaniaPublic 4-year,Public_4 year,PA,9408,10543,19951,15062,24470
Indiana University of PennsylvaniaPublic 4-year,Public_4 year,PA,12592,12979,25571,17299,29891
Kutztown University of PennsylvaniaPublic 4-year,Public_4 year,PA,10334,10802,21136,14660,24994
Lincoln UniversityPublic 4-year,Public_4 year,PA,9588,11666,21254,16802,26390
Lock Haven University of PennsylvaniaPublic 4-year,Public_4 year,PA,10368,10878,21246,20452,30820
Mansfield University of PennsylvaniaPublic 4-year,Public_4 year,PA,11928,12330,24258,21780,33708
Millersville University of PennsylvaniaPublic 4-year,Public_4 year,PA,13658,12226,25884,21946,35604
Penn State AbingtonPublic 4-year,Public_4 year,PA,8100,14524,22624,23278,31378
Penn State AltoonaPublic 4-year,Public_4 year,PA,11570,15198,26768,24450,36020
Penn State BeaverPublic 4-year,Public_4 year,PA,11570,13702,25272,21886,33456
Penn State BerksPublic 4-year,Public_4 year,PA,12730,15198,27928,24450,37180
Penn State BrandywinePublic 4-year,Public_4 year,PA,12180,14468,26648,23028,35208
Penn State DuBoisPublic 4-year,Public_4 year,PA,NA,13702,13702,21886,21886
"Penn State Erie, The Behrend CollegePublic 4-year",Public_4 year,PA,11570,15198,26768,24450,36020
"Penn State Fayette, The Eberly CampusPublic 4-year",Public_4 year,PA,NA,13702,13702,21886,21886
Penn State Greater AlleghenyPublic 4-year,Public_4 year,PA,11570,13702,25272,21886,33456
Penn State HarrisburgPublic 4-year,Public_4 year,PA,13280,15198,28478,24450,37730
Penn State HazletonPublic 4-year,Public_4 year,PA,11570,14468,26038,23028,34598
Penn State Lehigh ValleyPublic 4-year,Public_4 year,PA,NA,14468,14468,23028,23028
Penn State Mont AltoPublic 4-year,Public_4 year,PA,11570,13702,25272,21886,33456
Penn State New KensingtonPublic 4-year,Public_4 year,PA,NA,13702,13702,21886,21886
Penn State SchuylkillPublic 4-year,Public_4 year,PA,8618,14468,23086,23028,31646
Penn State ShenangoPublic 4-year,Public_4 year,PA,NA,13342,13342,21366,21366
Penn State University ParkPublic 4-year,Public_4 year,PA,11570,18454,30024,34858,46428
Penn State Wilkes-BarrePublic 4-year,Public_4 year,PA,NA,13586,13586,21770,21770
Penn State Worthington ScrantonPublic 4-year,Public_4 year,PA,NA,14832,14832,23028,23028
Penn State YorkPublic 4-year,Public_4 year,PA,NA,14468,14468,23028,23028
Pennsylvania College of TechnologyPublic 4-year,Public_4 year,PA,11544,16740,28284,23880,35424
Shippensburg University of PennsylvaniaPublic 4-year,Public_4 year,PA,12268,12718,24986,20510,32778
Slippery Rock University of PennsylvaniaPublic 4-year,Public_4 year,PA,10312,10517,20829,18233,28545
Temple UniversityPublic 4-year,Public_4 year,PA,11916,16970,28886,29066,40982
University of PittsburghPublic 4-year,Public_4 year,PA,11050,19080,30130,32052,43102
University of Pittsburgh at BradfordPublic 4-year,Public_4 year,PA,9332,13900,23232,25144,34476
University of Pittsburgh at GreensburgPublic 4-year,Public_4 year,PA,NA,13890,13890,25134,25134
University of Pittsburgh at JohnstownPublic 4-year,Public_4 year,PA,9980,13878,23858,25122,35102
West Chester University of PennsylvaniaPublic 4-year,Public_4 year,PA,9716,10412,20128,21986,31702
Art Institute of PhiladelphiaFor-profit 4-year,For_profit_4_year,PA,NA,14850,14850,14850,14850
Art Institute of PittsburghFor-profit 4-year,For_profit_4_year,PA,2758,23376,26134,23376,26134
Central Penn CollegeFor-profit 4-year,For_profit_4_year,PA,8094,18714,26808,18714,26808
Restaurant School at Walnut Hill CollegeFor-profit 4-year,For_profit_4_year,PA,7200,13580,20780,13580,20780
Albright CollegePrivate 4-year,Private_4_year,PA,12070,45306,57376,45306,57376
Allegheny CollegePrivate 4-year,Private_4_year,PA,12140,47540,59680,47540,59680
Alvernia UniversityPrivate 4-year,Private_4_year,PA,NA,34885,34885,34885,34885
Arcadia UniversityPrivate 4-year,Private_4_year,PA,13800,43580,57380,43580,57380
Bryn Athyn CollegePrivate 4-year,Private_4_year,PA,11886,22815,34701,22815,34701
Bryn Mawr CollegePrivate 4-year,Private_4_year,PA,16500,52360,68860,52360,68860
Bucknell UniversityPrivate 4-year,Private_4_year,PA,13662,56092,69754,56092,69754
Cabrini UniversityPrivate 4-year,Private_4_year,PA,12266,31920,44186,31920,44186
Cairn UniversityPrivate 4-year,Private_4_year,PA,10294,27279,37573,27279,37573
Carlow UniversityPrivate 4-year,Private_4_year,PA,11442,29454,40896,29454,40896
Carnegie Mellon UniversityPrivate 4-year,Private_4_year,PA,14418,55465,69883,55465,69883
Cedar Crest CollegePrivate 4-year,Private_4_year,PA,11544,39216,50760,39216,50760
Chatham UniversityPrivate 4-year,Private_4_year,PA,12090,37611,49701,37611,49701
Chestnut Hill CollegePrivate 4-year,Private_4_year,PA,11000,36180,47180,36180,47180
Clarks Summit UniversityPrivate 4-year,Private_4_year,PA,6320,23890,30210,23890,30210
Delaware Valley UniversityPrivate 4-year,Private_4_year,PA,14340,39440,53780,39440,53780
DeSales UniversityPrivate 4-year,Private_4_year,PA,12800,37600,50400,37600,50400
Dickinson CollegePrivate 4-year,Private_4_year,PA,13698,54661,68359,54661,68359
Drexel UniversityPrivate 4-year,Private_4_year,PA,14079,53279,67358,53279,67358
Duquesne UniversityPrivate 4-year,Private_4_year,PA,12586,38178,50764,38178,50764
Eastern UniversityPrivate 4-year,Private_4_year,PA,11254,33122,44376,33122,44376
Elizabethtown CollegePrivate 4-year,Private_4_year,PA,11370,46940,58310,46940,58310
Franklin & Marshall CollegePrivate 4-year,Private_4_year,PA,14050,56750,70800,56750,70800
Gannon UniversityPrivate 4-year,Private_4_year,PA,12650,32136,44786,32136,44786
Geneva CollegePrivate 4-year,Private_4_year,PA,10170,26730,36900,26730,36900
Gettysburg CollegePrivate 4-year,Private_4_year,PA,13010,54480,67490,54480,67490
Gratz CollegePrivate 4-year,Private_4_year,PA,NA,17630,17630,17630,17630
Grove City CollegePrivate 4-year,Private_4_year,PA,9770,17930,27700,17930,27700
Gwynedd Mercy UniversityPrivate 4-year,Private_4_year,PA,12370,35600,47970,35600,47970
Harrisburg University of Science and TechnologyPrivate 4-year,Private_4_year,PA,6800,23900,30700,23900,30700
Haverford CollegePrivate 4-year,Private_4_year,PA,16402,54592,70994,54592,70994
Holy Family UniversityPrivate 4-year,Private_4_year,PA,13576,30346,43922,30346,43922
Immaculata UniversityPrivate 4-year,Private_4_year,PA,12620,27350,39970,27350,39970
Juniata CollegePrivate 4-year,Private_4_year,PA,12521,45597,58118,45597,58118
Keystone CollegePrivate 4-year,Private_4_year,PA,11900,26920,38820,26920,38820
King's CollegePrivate 4-year,Private_4_year,PA,12940,37226,50166,37226,50166
La Roche CollegePrivate 4-year,Private_4_year,PA,11556,28564,40120,28564,40120
La Salle UniversityPrivate 4-year,Private_4_year,PA,15080,30560,45640,30560,45640
Lafayette CollegePrivate 4-year,Private_4_year,PA,15640,52880,68520,52880,68520
Lancaster Bible CollegePrivate 4-year,Private_4_year,PA,8750,25270,34020,25270,34020
Lebanon Valley CollegePrivate 4-year,Private_4_year,PA,11860,43650,55510,43650,55510
Lehigh UniversityPrivate 4-year,Private_4_year,PA,13600,52930,66530,52930,66530
Lycoming CollegePrivate 4-year,Private_4_year,PA,12568,40315,52883,40315,52883
Marywood UniversityPrivate 4-year,Private_4_year,PA,13900,34910,48810,34910,48810
Mercyhurst UniversityPrivate 4-year,Private_4_year,PA,12880,38070,50950,38070,50950
Messiah CollegePrivate 4-year,Private_4_year,PA,10520,35160,45680,35160,45680
Misericordia UniversityPrivate 4-year,Private_4_year,PA,13960,33240,47200,33240,47200
Moore College of Art and DesignPrivate 4-year,Private_4_year,PA,15564,41728,57292,41728,57292
Moravian CollegePrivate 4-year,Private_4_year,PA,13378,43636,57014,43636,57014
Mount Aloysius CollegePrivate 4-year,Private_4_year,PA,10648,23110,33758,23110,33758
Muhlenberg CollegePrivate 4-year,Private_4_year,PA,11765,52595,64360,52595,64360
Neumann UniversityPrivate 4-year,Private_4_year,PA,13020,31400,44420,31400,44420
Peirce CollegePrivate 4-year,Private_4_year,PA,NA,18660,18660,18660,18660
Pennsylvania Academy of the Fine ArtsPrivate 4-year,Private_4_year,PA,NA,38878,38878,38878,38878
Pennsylvania College of Art and DesignPrivate 4-year,Private_4_year,PA,NA,25850,25850,25850,25850
Pennsylvania College of Health SciencesPrivate 4-year,Private_4_year,PA,NA,27662,27662,27662,27662
Point Park UniversityPrivate 4-year,Private_4_year,PA,12200,31450,43650,31450,43650
Robert Morris UniversityPrivate 4-year,Private_4_year,PA,11400,30300,41700,30300,41700
Rosemont CollegePrivate 4-year,Private_4_year,PA,12438,19900,32338,19900,32338
Saint Joseph's UniversityPrivate 4-year,Private_4_year,PA,14840,44973,59813,44973,59813
Seton Hill UniversityPrivate 4-year,Private_4_year,PA,11884,35748,47632,35748,47632
St. Charles Borromeo Seminary - OverbrookPrivate 4-year,Private_4_year,PA,13700,21275,34975,21275,34975
St. Francis UniversityPrivate 4-year,Private_4_year,PA,12122,36410,48532,36410,48532
St. Vincent CollegePrivate 4-year,Private_4_year,PA,11470,35874,47344,35874,47344
Susquehanna UniversityPrivate 4-year,Private_4_year,PA,12630,47290,59920,47290,59920
Swarthmore CollegePrivate 4-year,Private_4_year,PA,15474,52588,68062,52588,68062
Talmudical Yeshiva of PhiladelphiaPrivate 4-year,Private_4_year,PA,7425,9075,16500,9075,16500
Thiel CollegePrivate 4-year,Private_4_year,PA,12600,31700,44300,31700,44300
Thomas Jefferson University: East FallsPrivate 4-year,Private_4_year,PA,13465,40501,53966,40501,53966
University of PennsylvaniaPrivate 4-year,Private_4_year,PA,15616,55584,71200,55584,71200
University of ScrantonPrivate 4-year,Private_4_year,PA,15182,44532,59714,44532,59714
University of the ArtsPrivate 4-year,Private_4_year,PA,16322,44780,61102,44780,61102
University of the SciencesPrivate 4-year,Private_4_year,PA,15938,25000,40938,25000,40938
University of Valley ForgePrivate 4-year,Private_4_year,PA,9886,21238,31124,21238,31124
Ursinus CollegePrivate 4-year,Private_4_year,PA,12750,52050,64800,52050,64800
Villanova UniversityPrivate 4-year,Private_4_year,PA,14020,53308,67328,53308,67328
Washington & Jefferson CollegePrivate 4-year,Private_4_year,PA,12676,47964,60640,47964,60640
Waynesburg UniversityPrivate 4-year,Private_4_year,PA,10164,24820,34984,24820,34984
Wilson CollegePrivate 4-year,Private_4_year,PA,11594,24595,36189,24595,36189
Westminster CollegePrivate 4-year,Private_4_year,PA,11130,36806,47936,36806,47936
Widener UniversityPrivate 4-year,Private_4_year,PA,14446,45948,60394,45948,60394
Wilkes UniversityPrivate 4-year,Private_4_year,PA,14682,36194,50876,36194,50876
Yeshivath Beth MoshePrivate 4-year,Private_4_year,PA,3400,9000,12400,9000,12400
York College of PennsylvaniaPrivate 4-year,Private_4_year,PA,11200,20100,31300,20100,31300
Conservatory of Music of Puerto RicoPublic 4-year,Public_4 year,PR,NA,4000,4000,4000,4000
Escuela de Artes Plasticas de Puerto RicoPublic 4-year,Public_4 year,PR,NA,4002,4002,6702,6702
University College of San JuanPublic 4-year,Public_4 year,PR,NA,2370,2370,2370,2370
University of Puerto Rico: AguadillaPublic 4-year,Public_4 year,PR,NA,3594,3594,3594,3594
University of Puerto Rico: AreciboPublic 4-year,Public_4 year,PR,NA,1769,1769,1987,1987
University of Puerto Rico: Bayamon University CollegePublic 4-year,Public_4 year,PR,NA,2022,2022,2022,2022
University of Puerto Rico: Carolina Regional CollegePublic 4-year,Public_4 year,PR,NA,6116,6116,6116,6116
University of Puerto Rico: HumacaoPublic 4-year,Public_4 year,PR,NA,1794,1794,1794,1794
University of Puerto Rico: MayaguezPublic 4-year,Public_4 year,PR,NA,2083,2083,4105,4105
University of Puerto Rico: Medical SciencesPublic 4-year,Public_4 year,PR,NA,2196,2196,2196,2196
University of Puerto Rico: PoncePublic 4-year,Public_4 year,PR,NA,2261,2261,2261,2261
University of Puerto Rico: Rio PiedrasPublic 4-year,Public_4 year,PR,8751,3624,12375,5349,14100
University of Puerto Rico: UtuadoPublic 4-year,Public_4 year,PR,NA,2266,2266,4287,4287
EDP University of Puerto Rico: San SebastianFor-profit 4-year,For_profit_4_year,PR,NA,5940,5940,5940,5940
American University of Puerto RicoPrivate 4-year,Private_4_year,PR,NA,6946,6946,6946,6946
Atlantic University CollegePrivate 4-year,Private_4_year,PR,NA,4525,4525,4525,4525
Bayamon Central UniversityPrivate 4-year,Private_4_year,PR,NA,5775,5775,5775,5775
Caribbean UniversityPrivate 4-year,Private_4_year,PR,NA,6570,6570,6570,6570
Carlos Albizu University: San JuanPrivate 4-year,Private_4_year,PR,NA,5912,5912,5912,5912
Inter American University of Puerto Rico: Aguadilla CampusPrivate 4-year,Private_4_year,PR,NA,6262,6262,6262,6262
Inter American University of Puerto Rico: Arecibo CampusPrivate 4-year,Private_4_year,PR,NA,6452,6452,6452,6452
Inter American University of Puerto Rico: Barranquitas CampusPrivate 4-year,Private_4_year,PR,NA,6262,6262,6262,6262
Inter American University of Puerto Rico: Bayamon CampusPrivate 4-year,Private_4_year,PR,7993,5898,13891,5898,13891
Inter American University of Puerto Rico: Fajardo CampusPrivate 4-year,Private_4_year,PR,NA,5898,5898,5898,5898
Inter American University of Puerto Rico: Guayama CampusPrivate 4-year,Private_4_year,PR,NA,6452,6452,6452,6452
Inter American University of Puerto Rico: Metropolitan CampusPrivate 4-year,Private_4_year,PR,NA,7476,7476,7476,7476
Inter American University of Puerto Rico: Ponce CampusPrivate 4-year,Private_4_year,PR,NA,5220,5220,5220,5220
Inter American University of Puerto Rico: San German CampusPrivate 4-year,Private_4_year,PR,3900,5976,9876,5976,9876
Pontifical Catholic University of Puerto RicoPrivate 4-year,Private_4_year,PR,1374,5490,6864,5490,6864
Turabo UniversityPrivate 4-year,Private_4_year,PR,NA,7050,7050,7050,7050
Universidad Adventista de las AntillasPrivate 4-year,Private_4_year,PR,6400,6570,12970,6570,12970
Universidad del EstePrivate 4-year,Private_4_year,PR,NA,6330,6330,6330,6330
Universidad MetropolitanaPrivate 4-year,Private_4_year,PR,NA,7050,7050,7050,7050
Universidad Pentecostal MizpaPrivate 4-year,Private_4_year,PR,3760,4120,7880,4120,7880
Universidad Politecnica de Puerto RicoPrivate 4-year,Private_4_year,PR,4950,8610,13560,8610,13560
Rhode Island CollegePublic 4-year,Public_4 year,RI,11829,8929,20758,21692,33521
University of Rhode IslandPublic 4-year,Public_4 year,RI,12950,14138,27088,30862,43812
Brown UniversityPrivate 4-year,Private_4_year,RI,14670,55656,70326,55656,70326
Bryant UniversityPrivate 4-year,Private_4_year,RI,15702,43973,59675,43973,59675
Johnson & Wales University: ProvidencePrivate 4-year,Private_4_year,RI,14337,32091,46428,32091,46428
New England Institute of TechnologyPrivate 4-year,Private_4_year,RI,13065,29940,43005,29940,43005
Providence CollegePrivate 4-year,Private_4_year,RI,14700,50390,65090,50390,65090
Rhode Island School of DesignPrivate 4-year,Private_4_year,RI,13400,50960,64360,50960,64360
Roger Williams UniversityPrivate 4-year,Private_4_year,RI,15890,34522,50412,34522,50412
Salve Regina UniversityPrivate 4-year,Private_4_year,RI,14500,40550,55050,40550,55050
Clemson UniversityPublic 4-year,Public_4 year,SC,10832,14970,25802,36724,47556
Coastal Carolina UniversityPublic 4-year,Public_4 year,SC,9190,11536,20726,26648,35838
College of CharlestonPublic 4-year,Public_4 year,SC,12166,12738,24904,31920,44086
Francis Marion UniversityPublic 4-year,Public_4 year,SC,7948,11160,19108,21544,29492
Lander UniversityPublic 4-year,Public_4 year,SC,9100,11700,20800,21300,30400
Medical University of South CarolinaPublic 4-year,Public_4 year,SC,NA,26826,26826,26826,26826
South Carolina State UniversityPublic 4-year,Public_4 year,SC,9890,11060,20950,21750,31640
The CitadelPublic 4-year,Public_4 year,SC,6904,14289,21193,36761,43665
University of South Carolina: AikenPublic 4-year,Public_4 year,SC,7766,10760,18526,21218,28984
University of South Carolina: BeaufortPublic 4-year,Public_4 year,SC,NA,10680,10680,21726,21726
University of South Carolina: ColumbiaPublic 4-year,Public_4 year,SC,NA,12616,12616,33298,33298
University of South Carolina: UpstatePublic 4-year,Public_4 year,SC,9480,11763,21243,23265,32745
Winthrop UniversityPublic 4-year,Public_4 year,SC,9312,15590,24902,29846,39158
Allen UniversityPrivate 4-year,Private_4_year,SC,7230,13340,20570,13340,20570
Anderson UniversityPrivate 4-year,Private_4_year,SC,9830,28000,37830,28000,37830
Bob Jones UniversityPrivate 4-year,Private_4_year,SC,6976,18150,25126,18150,25126
Benedict CollegePrivate 4-year,Private_4_year,SC,6200,16600,22800,16600,22800
Charleston Southern UniversityPrivate 4-year,Private_4_year,SC,10200,25500,35700,25500,35700
Claflin UniversityPrivate 4-year,Private_4_year,SC,9294,16622,25916,16622,25916
Coker CollegePrivate 4-year,Private_4_year,SC,9090,29328,38418,29328,38418
Columbia CollegePrivate 4-year,Private_4_year,SC,7900,19500,27400,19500,27400
Columbia International UniversityPrivate 4-year,Private_4_year,SC,8150,23690,31840,23690,31840
Converse CollegePrivate 4-year,Private_4_year,SC,10930,18690,29620,18690,29620
Erskine CollegePrivate 4-year,Private_4_year,SC,10900,34560,45460,34560,45460
Furman UniversityPrivate 4-year,Private_4_year,SC,12712,49532,62244,49532,62244
Limestone CollegePrivate 4-year,Private_4_year,SC,9765,26000,35765,26000,35765
Morris CollegePrivate 4-year,Private_4_year,SC,6033,13886,19919,13886,19919
Newberry CollegePrivate 4-year,Private_4_year,SC,10666,26424,37090,26424,37090
North Greenville UniversityPrivate 4-year,Private_4_year,SC,10240,19750,29990,19750,29990
Presbyterian CollegePrivate 4-year,Private_4_year,SC,10480,38660,49140,38660,49140
Southern Wesleyan UniversityPrivate 4-year,Private_4_year,SC,9030,25476,34506,25476,34506
Voorhees CollegePrivate 4-year,Private_4_year,SC,7346,12630,19976,12630,19976
W.L. Bonner Bible CollegePrivate 4-year,Private_4_year,SC,2576,8868,11444,8868,11444
Wofford CollegePrivate 4-year,Private_4_year,SC,12685,43845,56530,43845,56530
Black Hills State UniversityPublic 4-year,Public_4 year,SD,6978,8733,15711,11778,18756
Dakota State UniversityPublic 4-year,Public_4 year,SD,6873,9276,16149,12249,19122
Northern State UniversityPublic 4-year,Public_4 year,SD,8029,8498,16527,11471,19500
Oglala Lakota CollegePublic 4-year,Public_4 year,SD,NA,3560,3560,3560,3560
Sinte Gleska UniversityPublic 4-year,Public_4 year,SD,NA,3700,3700,3700,3700
South Dakota School of Mines and TechnologyPublic 4-year,Public_4 year,SD,8440,9779,18219,14021,22461
South Dakota State UniversityPublic 4-year,Public_4 year,SD,7896,8764,16660,12128,20024
University of South DakotaPublic 4-year,Public_4 year,SD,8216,9061,17277,12425,20641
Augustana UniversityPrivate 4-year,Private_4_year,SD,8248,33018,41266,33018,41266
Dakota Wesleyan UniversityPrivate 4-year,Private_4_year,SD,7350,27300,34650,27300,34650
Mount Marty CollegePrivate 4-year,Private_4_year,SD,7986,27276,35262,27276,35262
Presentation CollegePrivate 4-year,Private_4_year,SD,9578,19995,29573,19995,29573
University of Sioux FallsPrivate 4-year,Private_4_year,SD,7350,18280,25630,18280,25630
Austin Peay State UniversityPublic 4-year,Public_4 year,TN,10700,8411,19111,24467,35167
East Tennessee State UniversityPublic 4-year,Public_4 year,TN,8472,9277,17749,28459,36931
Middle Tennessee State UniversityPublic 4-year,Public_4 year,TN,9436,9206,18642,28364,37800
Tennessee State UniversityPublic 4-year,Public_4 year,TN,7806,8008,15814,21364,29170
Tennessee Technological UniversityPublic 4-year,Public_4 year,TN,9736,9103,18839,25759,35495
University of MemphisPublic 4-year,Public_4 year,TN,9975,9701,19676,21413,31388
University of Tennessee: ChattanoogaPublic 4-year,Public_4 year,TN,9050,8664,17714,24782,33832
University of Tennessee: KnoxvillePublic 4-year,Public_4 year,TN,11240,13006,24246,31196,42436
