Occupation,Numworkers,median_wage,male_worker,male_wage,female_worker,female_wage
Telecommunications line installers and repairers,196,"1,014",187,"1,026",9,NA
Precision instrument and equipment repairers,46,NA,39,NA,6,NA
Wind turbine service technicians,2,NA,2,NA,0,NA
"Coin, vending, and amusement machine servicers and repairers",25,NA,23,NA,2,NA
Commercial divers,0,NA,0,NA,0,NA
Locksmiths and safe repairers,18,NA,18,NA,0,NA
Manufactured building and mobile home installers,5,NA,5,NA,0,NA
Riggers,13,NA,13,NA,0,NA
Signal and track switch repairers,14,NA,14,NA,0,NA
"HelpersNANAinstallation, maintenance, and repair workers",17,NA,17,NA,1,NA
"Other installation, maintenance, and repair workers",111,827,108,837,3,NA
"Production, transportation, and material moving occupations","15,210",707,"11,932",762,"3,279",561
Production occupations,"7,668",723,"5,627",793,"2,041",575
FirstNAline supervisors of production and operating workers,792,980,642,"1,050",150,745
"Aircraft structure, surfaces, rigging, and systems assemblers",6,NA,5,NA,1,NA
"Electrical, electronics, and electromechanical assemblers",110,605,57,706,53,518
Engine and other machine assemblers,7,NA,5,NA,2,NA
Structural metal fabricators and fitters,27,NA,27,NA,0,NA
Miscellaneous assemblers and fabricators,989,663,641,723,348,583
Bakers,151,549,61,565,89,533
"Butchers and other meat, poultry, and fish processing workers",223,606,158,632,65,557
"Food and tobacco roasting, baking, and drying machine operators and tenders",3,NA,3,NA,0,NA
Food batchmakers,55,557,21,NA,34,NA
Food cooking machine operators and tenders,8,NA,3,NA,5,NA
"Food processing workers, all other",142,624,90,749,52,539
Computer control programmers and operators,106,882,94,890,12,NA
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",17,NA,12,NA,4,NA
"Forging machine setters, operators, and tenders, metal and plastic",5,NA,5,NA,0,NA
"Rolling machine setters, operators, and tenders, metal and plastic",11,NA,7,NA,3,NA
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",58,745,53,766,5,NA
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",6,NA,6,NA,0,NA
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,NA,33,NA,2,NA
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",7,NA,7,NA,0,NA
"Milling and planing machine setters, operators, and tenders, metal and plastic",2,NA,2,NA,0,NA
Machinists,309,863,293,878,16,NA
"Metal furnace operators, tenders, pourers, and casters",17,NA,16,NA,1,NA
"Model makers and patternmakers, metal and plastic",5,NA,5,NA,0,NA
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,NA,32,NA,3,NA
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,NA,4,NA,0,NA
Tool and die makers,47,NA,45,NA,2,NA
"Welding, soldering, and brazing workers",562,840,530,847,32,NA
"Heat treating equipment setters, operators, and tenders, metal and plastic",10,NA,8,NA,2,NA
"Layout workers, metal and plastic",10,NA,9,NA,1,NA
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,NA,13,NA,4,NA
"Tool grinders, filers, and sharpeners",1,NA,1,NA,0,NA
"Metal workers and plastic workers, all other",356,698,290,724,66,611
Prepress technicians and workers,14,NA,11,NA,3,NA
Printing press operators,137,754,111,804,26,NA
